Date,P.D,Temp
2017-01-14,15441.05875,-7.8
2017-01-14,15354.18625,-8.2
2017-01-14,15243.19375,-8.3
2017-01-14,15605.815,-8.8
2017-01-14,15802.38625,-9.4
2017-01-15,15016.14625,-9.4
2017-01-15,14611.46125,-9.8
2017-01-15,14474.155,-10.4
2017-01-15,14371.65625,-10.5
2017-01-15,14362.27375,-10.3
2017-01-15,14147.26375,-10.8
2017-01-15,14353.49875,-10.9
2017-01-15,14820.50875,-11.2
2017-01-15,14532.44125,-11.4
2017-01-15,15012.0175,-10.3
2017-01-15,15497.71375,-8.5
2017-01-15,15914.84125,-6.6
2017-01-15,15719.81125,-5.5
2017-01-15,15785.77,-4.6
2017-01-15,15774.62125,-3.4
2017-01-15,15831.59125,-1.8
2017-01-15,15850.89625,-1.1
2017-01-15,15893.275,-1.9
2017-01-15,15685.63375,-3.4
2017-01-15,15689.95375,-4
2017-01-15,15496.375,-4.2
2017-01-15,15419.245,-4.6
2017-01-15,14855.98,-4.7
2017-01-15,15134.35,-5.3
2017-01-16,14752.2775,-6
2017-01-16,14409.59125,-6.9
2017-01-16,14249.245,-7.4
2017-01-16,14274.535,-7.8
2017-01-16,14503.39375,-7.8
2017-01-16,14765.31625,-8.4
2017-01-16,17047.39,-8.7
2017-01-16,19513.33375,-8.7
2017-01-16,20843.73625,-8.9
2017-01-16,20895.88,-8.2
2017-01-16,21114.3325,-5.2
2017-01-16,20590.29625,-2
2017-01-16,19824.05875,-1.3
2017-01-16,20780.39875,0.7
2017-01-16,19776.4375,2.3
2017-01-16,19882.37875,3
2017-01-16,19581.91375,3
2017-01-16,18888.26125,2.2
2017-01-16,17819.7025,0
2017-01-16,17348.5975,-1.2
2017-01-16,16811.59,-2.2
2017-01-16,16172.26375,-2.8
2017-01-16,15181.7125,-3.3
2017-01-16,15504.745,-4
2017-01-17,14875.58875,-4.5
2017-01-17,14483.4475,-5
2017-01-17,14242.52875,-5.2
2017-01-17,14249.6275,-5.7
2017-01-17,14520.13375,-6
2017-01-17,14625.97375,-6.3
2017-01-17,16075.8175,-6.5
2017-01-17,18557.545,-6.7
2017-01-17,20143.64875,-7
2017-01-17,20445.5875,-5.8
2017-01-17,20434.28125,-3.9
2017-01-17,19975.73125,-1.9
2017-01-17,19304.68,0
2017-01-17,20178.985,2.2
2017-01-17,19795.7875,2.8
2017-01-17,19513.19875,2.7
2017-01-17,19174.81,3.1
2017-01-17,19101.80875,2.2
2017-01-17,17675.815,0.8
2017-01-17,17079.4075,-0.1
2017-01-17,16681,-0.6
2017-01-17,16038.985,-0.8
2017-01-17,14926.9675,-1.2
2017-01-17,15149.25625,-1
2017-01-18,14630.20375,-0.7
2017-01-18,14102.75875,-0.6
2017-01-18,14002.6675,-0.5
2017-01-18,13937.83375,-1.1
2017-01-18,14031.52375,-2
2017-01-18,14388.4525,-2.3
2017-01-18,16050.9775,-2.6
2017-01-18,18498.955,-2.8
2017-01-18,20097.95125,-3
2017-01-18,20190.47125,-2.5
2017-01-18,20677.4275,-0.9
2017-01-18,20092.72,0.8
2017-01-18,19302.10375,1.9
2017-01-18,19796.76625,1.5
2017-01-18,19459.075,2
2017-01-18,19619.28625,2.5
2017-01-18,19615.2475,2.5
2017-01-18,19104.1375,2.1
2017-01-18,17406.07375,1
2017-01-18,16534.9525,0.2
2017-01-18,16187.26,-0.7
2017-01-18,15816.5275,-1.3
2017-01-18,15423.73375,-1.6
2017-01-18,15349.945,-1.8
2017-01-19,14693.1475,-1.9
2017-01-19,14219.01625,-2.6
2017-01-19,14076.715,-3.4
2017-01-19,14073.26125,-3.7
2017-01-19,14120.455,-4.1
2017-01-19,14434.25125,-4.5
2017-01-19,16128.07375,-4.6
2017-01-19,18722.54875,-4.8
2017-01-19,19878.52,-4.8
2017-01-19,20245.5625,-4.2
2017-01-19,20610.6025,-2.3
2017-01-19,19615.9225,-1.2
2017-01-19,19030.315,1.2
2017-01-19,19937.63875,2.6
2017-01-19,19275.48625,3.6
2017-01-19,19111.77625,4.6
2017-01-19,19050.1825,4
2017-01-19,19030.55125,1.5
2017-01-19,17638.47625,0.1
2017-01-19,16902.265,-0.4
2017-01-19,16458.12625,-1.1
2017-01-19,15981.61,-1.4
2017-01-19,15107.44,-1.6
2017-01-19,15322.1125,-1.4
2017-01-20,14876.19625,-1.4
2017-01-20,14512.63,-1.7
2017-01-20,14433.7,-1.5
2017-01-20,14363.87125,-2.1
2017-01-20,14382.61375,-2.8
2017-01-20,14858.9725,-3.2
2017-01-20,16226.275,-3.8
2017-01-20,18191.66125,-4
2017-01-20,20058.385,-4.1
2017-01-20,20466.5575,-4.2
2017-01-20,20945.605,-4.4
2017-01-20,20409.115,-4.1
2017-01-20,19678.07875,-4.5
2017-01-20,19738.57,-4.2
2017-01-20,20131.81375,-3.3
2017-01-20,19999.6825,-2.6
2017-01-20,19735.18375,-1.9
2017-01-20,19120.1125,-3.2
2017-01-20,17665.375,-4.3
2017-01-20,17039.68375,-5
2017-01-20,16373.8975,-5.6
2017-01-20,16496.2075,-6.2
2017-01-20,15888.62875,-7
2017-01-20,15586.555,-7.4
2017-01-21,15062.60875,-7.8
2017-01-21,14554.01875,-8.4
2017-01-21,14298.44125,-8.5
2017-01-21,14308.07125,-9.3
2017-01-21,14353.83625,-9.1
2017-01-21,14850.29875,-9.6
2017-01-21,15078.6175,-9.9
2017-01-21,15342.30625,-9.9
2017-01-21,15327.92875,-9.3
2017-01-21,16122.1225,-8.3
2017-01-21,16959.8875,-6.2
2017-01-21,16807.48375,-4.1
2017-01-21,16379.15125,-3.1
2017-01-21,16048.3,-1
2017-01-21,16032.38125,-1.2
2017-01-21,15919.735,-2
2017-01-21,15919.18375,-2.2
2017-01-21,15902.095,-2.5
2017-01-21,15383.90875,-2.4
2017-01-21,15186.17875,-2.8
2017-01-21,15024.98875,-3.1
2017-01-21,14853.91,-3.5
2017-01-21,15179.125,-4.2
2017-01-21,14914.85125,-4.2
2017-01-22,14591.02,-3.3
2017-01-22,14149.04125,-4.3
2017-01-22,14085.11875,-5.9
2017-01-22,14249.335,-6.9
2017-01-22,14245.88125,-7.8
2017-01-22,13916.7175,-8.5
2017-01-22,14312.92,-8.9
2017-01-22,14649.97,-9.3
2017-01-22,14854.945,-9.6
2017-01-22,15642.65875,-9.4
2017-01-22,16005.0325,-8.8
2017-01-22,16024.70875,-7.8
2017-01-22,16058.77375,-7.6
2017-01-22,15976.46875,-6.1
2017-01-22,15995.48125,-5.8
2017-01-22,16111.13125,-5.4
2017-01-22,16097.38375,-5.3
2017-01-22,16182.2425,-6.4
2017-01-22,15884.5,-7.5
2017-01-22,15535.48,-8.3
2017-01-22,15386.18125,-8.7
2017-01-22,15376.77625,-9.5
2017-01-22,15815.335,-10
2017-01-22,15453.9625,-10.4
2017-01-23,14813.62375,-10.9
2017-01-23,14437.44625,-11.1
2017-01-23,14303.1325,-10.9
2017-01-23,14376.94375,-11
2017-01-23,14660.48875,-11.3
2017-01-23,14710.82125,-12.2
2017-01-23,16166.065,-12.6
2017-01-23,19336.05625,-12.4
2017-01-23,18668.4025,-12.3
2017-01-23,18569.4025,-11.8
2017-01-23,21263.71,-10.2
2017-01-23,21091.68625,-8.6
2017-01-23,20322.88375,-7.4
2017-01-23,20241.895,-6.5
2017-01-23,20702.155,-5.7
2017-01-23,20477.7175,-4.8
2017-01-23,20344.09,-4.3
2017-01-23,19908.4225,-4.7
2017-01-23,18900.79375,-6.1
2017-01-23,17789.02375,-6.8
2017-01-23,17238.055,-7.2
2017-01-23,16637.92375,-7.8
2017-01-23,15479.35375,-8.2
2017-01-23,14971.57375,-8.8
2017-01-24,15046.07125,-9.5
2017-01-24,14638.30375,-10
2017-01-24,14441.31625,-10.2
2017-01-24,14381.60125,-10.4
2017-01-24,14736.22375,-11.3
2017-01-24,15289.65625,-11.2
2017-01-24,17352.85,-11.3
2017-01-24,19418.85625,-11.1
2017-01-24,20536.31875,-11.2
2017-01-24,21162.24625,-9.8
2017-01-24,21297.51625,-7.7
2017-01-24,20661.37375,-6
2017-01-24,19866.08875,-5.2
2017-01-24,20257.07125,-4.1
2017-01-24,20883.62875,-2.5
2017-01-24,19591.8025,-2.1
2017-01-24,19353.0325,-1.7
2017-01-24,18720.5125,-2
2017-01-24,18074.50375,-3.9
2017-01-24,17490.58375,-4.8
2017-01-24,17067.78625,-5.5
2017-01-24,16279.04875,-5.8
2017-01-24,15235.38625,-6.4
2017-01-24,15541.915,-7.3
